! 16C energy loss (dE/dX) in H
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
0.001000	5.09176   	0.001000	5.09176   	0.001000	5.17441   	0.001000	5.17441   	0.001000	5.17437   	0.001000	2.17343   	0.001000	2.91833   	
0.002000	5.00361   	0.002000	5.00361   	0.002000	5.37555   	0.002000	5.37555   	0.002000	5.37553   	0.002000	2.81859   	0.002000	2.18502   	
0.005000	5.2992    	0.005000	5.2992    	0.005000	6.36954   	0.005000	6.36954   	0.005000	6.36954   	0.005000	3.97429   	0.005000	1.32491   	
0.008000	5.72434   	0.008000	5.72434   	0.008000	7.36505   	0.008000	7.36505   	0.008000	7.36505   	0.008000	4.74029   	0.008000	0.984055  	
0.010000	6.00186   	0.010000	6.00186   	0.010000	7.98201   	0.010000	7.98201   	0.010000	7.98201   	0.010000	5.15402   	0.010000	0.84784   	
0.015000	7.00456   	0.015000	7.00456   	0.015000	9.13876   	0.015000	9.13876   	0.015000	9.13877   	0.015000	6.37089   	0.015000	0.633668  	
0.020000	8.25476   	0.020000	8.25476   	0.020000	10.1198   	0.020000	10.1198   	0.020000	10.1198   	0.020000	7.7396    	0.020000	0.515169  	
0.025000	9.48126   	0.025000	9.48126   	0.025000	11.0813   	0.025000	11.0813   	0.025000	11.0813   	0.025000	9.04436   	0.025000	0.436905  	
0.030000	10.6802   	0.030000	10.6802   	0.030000	12.3443   	0.030000	12.3443   	0.030000	12.3443   	0.030000	10.2992   	0.030000	0.380953  	
0.035000	11.8476   	0.035000	11.8476   	0.035000	13.5462   	0.035000	13.5462   	0.035000	13.5463   	0.035000	11.5088   	0.035000	0.338753  	
0.040000	12.9799   	0.040000	12.9799   	0.040000	14.6856   	0.040000	14.6856   	0.040000	14.6856   	0.040000	12.6742   	0.040000	0.305673  	
0.045000	14.0739   	0.045000	14.0739   	0.045000	15.7615   	0.045000	15.7615   	0.045000	15.7615   	0.045000	13.7949   	0.045000	0.278973  	
0.050000	15.127    	0.050000	15.127    	0.050000	16.7735   	0.050000	16.7735   	0.050000	16.7735   	0.050000	14.87     	0.050000	0.256924  	
0.055000	16.1367   	0.055000	16.1367   	0.055000	17.7218   	0.055000	17.7218   	0.055000	17.7218   	0.055000	15.8983   	0.055000	0.238376  	
0.060000	17.101    	0.060000	17.101    	0.060000	18.6071   	0.060000	18.6071   	0.060000	18.6071   	0.060000	16.8785   	0.060000	0.222536  	
0.070000	18.8883   	0.070000	18.8883   	0.070000	20.1938   	0.070000	20.1938   	0.070000	20.1939   	0.070000	18.6914   	0.070000	0.196856  	
0.080000	20.4818   	0.080000	20.4818   	0.080000	21.5473   	0.080000	21.5473   	0.080000	21.5473   	0.080000	20.3049   	0.080000	0.176881  	
0.090000	21.8966   	0.090000	21.8966   	0.090000	22.6852   	0.090000	22.6852   	0.090000	22.6852   	0.090000	21.7358   	0.090000	0.16086   	
0.100000	23.1504   	0.100000	23.1504   	0.100000	23.6277   	0.100000	23.6277   	0.100000	23.6277   	0.100000	23.0027   	0.100000	0.147697  	
0.120000	25.1136   	0.120000	25.1136   	0.120000	25.0107   	0.120000	25.0107   	0.120000	25.0107   	0.120000	24.9863   	0.120000	0.127298  	
0.140000	26.4407   	0.140000	26.4407   	0.140000	25.8574   	0.140000	25.8574   	0.140000	25.8574   	0.140000	26.3285   	0.140000	0.112168  	
0.160000	27.2195   	0.160000	27.2195   	0.160000	26.3076   	0.160000	26.3076   	0.160000	26.3076   	0.160000	27.119    	0.160000	0.100463  	
0.180000	27.5103   	0.180000	27.5103   	0.180000	26.4732   	0.180000	26.4732   	0.180000	26.4732   	0.180000	27.4192   	0.180000	0.0911162 	
0.200000	27.5384   	0.200000	27.5384   	0.200000	26.4396   	0.200000	26.4396   	0.200000	26.4396   	0.200000	27.455    	0.200000	0.0834666 	
0.250000	26.9184   	0.250000	26.9184   	0.250000	25.8576   	0.250000	25.8576   	0.250000	25.8576   	0.250000	26.8491   	0.250000	0.0692502 	
0.300000	26.2413   	0.300000	26.2413   	0.300000	24.9732   	0.300000	24.9732   	0.300000	24.9733   	0.300000	26.1819   	0.300000	0.0593951 	
0.350000	25.4838   	0.350000	25.4838   	0.350000	24.0347   	0.350000	24.0347   	0.350000	24.0347   	0.350000	25.4317   	0.350000	0.0521323 	
0.400000	24.519    	0.400000	24.519    	0.400000	23.1746   	0.400000	23.1746   	0.400000	23.1746   	0.400000	24.4724   	0.400000	0.0465422 	
0.450000	23.5716   	0.450000	23.5716   	0.450000	22.5265   	0.450000	22.5265   	0.450000	22.5265   	0.450000	23.5295   	0.450000	0.0420972 	
0.500000	22.8132   	0.500000	22.8132   	0.500000	21.8899   	0.500000	21.8899   	0.500000	21.8899   	0.500000	22.7747   	0.500000	0.0384722 	
0.600000	21.5058   	0.600000	21.5058   	0.600000	20.7023   	0.600000	20.7023   	0.600000	20.7024   	0.600000	21.4729   	0.600000	0.0329035 	
0.700000	20.3988   	0.700000	20.3988   	0.700000	19.594    	0.700000	19.594    	0.700000	19.594    	0.700000	20.37     	0.700000	0.0288141 	
0.800000	19.4097   	0.800000	19.4097   	0.800000	18.6112   	0.800000	18.6112   	0.800000	18.6112   	0.800000	19.384    	0.800000	0.0256755 	
0.900000	18.5393   	0.900000	18.5393   	0.900000	17.7423   	0.900000	17.7423   	0.900000	17.7423   	0.900000	18.5161   	0.900000	0.0231859 	
1.000000	17.7588   	1.000000	17.7588   	1.000000	16.9647   	1.000000	16.9647   	1.000000	16.9647   	1.000000	17.7376   	1.000000	0.0211597 	
1.250000	15.9793   	1.250000	15.9793   	1.250000	15.2991   	1.250000	15.2991   	1.250000	15.2991   	1.250000	15.9619   	1.250000	0.0174232 	
1.500000	14.3891   	1.500000	14.3891   	1.500000	13.9114   	1.500000	13.9114   	1.500000	13.9115   	1.500000	14.3742   	1.500000	0.0148566 	
1.750000	13.1138   	1.750000	13.1138   	1.750000	12.7891   	1.750000	12.7891   	1.750000	12.7891   	1.750000	13.1008   	1.750000	0.0129787 	
2.000000	11.9795   	2.000000	11.9795   	2.000000	11.8508   	2.000000	11.8508   	2.000000	11.8508   	2.000000	11.9679   	2.000000	0.0115416 	
2.250000	11.0403   	2.250000	11.0403   	2.250000	11.0492   	2.250000	11.0492   	2.250000	11.0492   	2.250000	11.0299   	2.250000	0.0104045 	
2.500000	10.8445   	2.500000	10.2603   	2.500000	10.3541   	2.500000	10.3541   	2.500000	10.3542   	2.500000	10.2508   	2.500000	0.009481  	
3.000000	9.51818   	3.000000	9.02376   	3.000000	9.20489   	3.000000	9.20489   	3.000000	9.2049    	3.000000	9.01569   	3.000000	0.00806949	
3.500000	8.49037   	3.500000	8.0712    	3.500000	8.29166   	3.500000	8.29166   	3.500000	8.29166   	3.500000	8.06416   	3.500000	0.00703893	
4.000000	7.67028   	4.000000	7.31179   	4.000000	7.54777   	4.000000	7.54777   	4.000000	7.54777   	4.000000	7.30554   	4.000000	0.0062517 	
4.500000	7.00047   	4.500000	6.68974   	4.500000	6.9299    	4.500000	6.9299    	4.500000	6.92991   	4.500000	6.68411   	4.500000	0.00562971	
5.000000	6.4429    	5.000000	6.16889   	5.000000	6.40844   	5.000000	6.40844   	5.000000	6.40845   	5.000000	6.16376   	5.000000	0.00512521	
5.500000	5.97138   	5.500000	5.72545   	5.500000	5.96238   	5.500000	5.96238   	5.500000	5.96238   	5.500000	5.72074   	5.500000	0.00470737	
6.000000	5.5673    	6.000000	5.3429    	6.000000	5.5764    	6.000000	5.5764    	6.000000	5.5764    	6.000000	5.33855   	6.000000	0.00435534	
6.500000	5.21705   	6.500000	5.00927   	6.500000	5.23907   	6.500000	5.23907   	6.500000	5.23907   	6.500000	5.00521   	6.500000	0.00405449	
7.000000	4.91047   	7.000000	4.71559   	7.000000	4.94168   	7.000000	4.94168   	7.000000	4.94168   	7.000000	4.7118    	7.000000	0.00379426	
7.500000	4.63982   	7.500000	4.45504   	7.500000	4.67748   	7.500000	4.67748   	7.500000	4.67749   	7.500000	4.45147   	7.500000	0.00356684	
8.000000	4.39907   	8.000000	4.22225   	8.000000	4.44118   	8.000000	4.44118   	8.000000	4.44118   	8.000000	4.21888   	8.000000	0.0033663 	
8.500000	4.18349   	8.500000	4.01299   	8.500000	4.22853   	8.500000	4.22853   	8.500000	4.22853   	8.500000	4.0098    	8.500000	0.00318807	
9.000000	3.9893    	9.000000	3.82385   	9.000000	4.03613   	9.000000	4.03613   	9.000000	4.03613   	9.000000	3.82082   	9.000000	0.00302858	
9.500000	3.81344   	9.500000	3.65204   	9.500000	3.86119   	9.500000	3.86119   	9.500000	3.86119   	9.500000	3.64916   	9.500000	0.00288498	
10.000000	3.6534    	10.000000	3.33178   	10.000000	3.70141   	10.000000	3.70141   	10.000000	3.70141   	10.000000	3.32903   	10.000000	0.00275496	
11.000000	3.37289   	11.000000	3.11167   	11.000000	3.41474   	11.000000	3.4166    	11.000000	3.41556   	11.000000	3.10914   	11.000000	0.00252856	
12.000000	3.13501   	12.000000	2.91967   	12.000000	3.17071   	12.000000	3.17379   	12.000000	3.17188   	12.000000	2.91733   	12.000000	0.00233797	
13.000000	2.93063   	13.000000	2.75087   	13.000000	2.96049   	13.000000	2.96435   	13.000000	2.96175   	13.000000	2.7487    	13.000000	0.00217521	
14.000000	2.75308   	14.000000	2.6014    	14.000000	2.7775    	14.000000	2.78188   	14.000000	2.77875   	14.000000	2.59936   	14.000000	0.00203453	
15.000000	2.59735   	15.000000	2.46816   	15.000000	2.6168    	15.000000	2.62151   	15.000000	2.618     	15.000000	2.46624   	15.000000	0.00191166	
16.000000	2.45961   	16.000000	2.34866   	16.000000	2.47463   	16.000000	2.47949   	16.000000	2.47572   	16.000000	2.34686   	16.000000	0.00180337	
17.000000	2.33688   	17.000000	2.24091   	17.000000	2.34801   	17.000000	2.35288   	17.000000	2.34894   	17.000000	2.2392    	17.000000	0.00170719	
18.000000	2.22681   	18.000000	2.14326   	18.000000	2.23447   	18.000000	2.23932   	18.000000	2.23528   	18.000000	2.14164   	18.000000	0.00162116	
19.000000	2.12752   	19.000000	2.05435   	19.000000	2.13212   	19.000000	2.13693   	19.000000	2.13286   	19.000000	2.0528    	19.000000	0.00154373	
20.000000	2.03746   	20.000000	1.97306   	20.000000	2.03947   	20.000000	2.04417   	20.000000	2.04013   	20.000000	1.97159   	20.000000	0.00147366	
21.000000	1.95541   	21.000000	1.89845   	21.000000	1.95524   	21.000000	1.95976   	21.000000	1.95577   	21.000000	1.89704   	21.000000	0.00140993	
22.000000	1.88032   	22.000000	1.82972   	22.000000	1.87832   	22.000000	1.88266   	22.000000	1.87876   	22.000000	1.82837   	22.000000	0.00135171	
23.000000	1.81133   	23.000000	1.76621   	23.000000	1.80781   	23.000000	1.81197   	23.000000	1.80819   	23.000000	1.76491   	23.000000	0.00129831	
24.000000	1.74771   	24.000000	1.70734   	24.000000	1.74296   	24.000000	1.74696   	24.000000	1.74332   	24.000000	1.70609   	24.000000	0.00124913	
25.000000	1.68887   	25.000000	1.65261   	25.000000	1.68315   	25.000000	1.687     	25.000000	1.68349   	25.000000	1.65141   	25.000000	0.0012037 	
27.000000	1.58344   	27.000000	1.55394   	27.000000	1.57661   	27.000000	1.58009   	27.000000	1.57691   	27.000000	1.55282   	27.000000	0.00112245	
29.000000	1.49168   	29.000000	1.46742   	29.000000	1.48471   	29.000000	1.48775   	29.000000	1.48492   	29.000000	1.46637   	29.000000	0.00105187	
31.000000	1.41107   	31.000000	1.39092   	31.000000	1.40467   	31.000000	1.40716   	31.000000	1.4048    	31.000000	1.38993   	31.000000	0.000989981	
33.000000	1.33965   	33.000000	1.32277   	33.000000	1.33375   	33.000000	1.33574   	33.000000	1.3339    	33.000000	1.32184   	33.000000	0.000935239	
35.000000	1.27592   	35.000000	1.26167   	35.000000	1.27042   	35.000000	1.27197   	35.000000	1.27056   	35.000000	1.26079   	35.000000	0.000886463	
38.000000	1.19218   	38.000000	1.181     	38.000000	1.18715   	38.000000	1.18813   	38.000000	1.18724   	38.000000	1.18018   	38.000000	0.000822485	
41.000000	1.12001   	41.000000	1.11111   	41.000000	1.11534   	41.000000	1.11583   	41.000000	1.11534   	41.000000	1.11034   	41.000000	0.000767446	
44.000000	1.05714   	44.000000	1.04996   	44.000000	1.0526    	44.000000	1.05281   	44.000000	1.05264   	44.000000	1.04924   	44.000000	0.000719574	
47.000000	1.00184   	47.000000	0.995984  	47.000000	0.997467  	47.000000	0.997367  	47.000000	0.997458  	47.000000	0.995307  	47.000000	0.000677538	
50.000000	0.952804  	50.000000	0.947982  	50.000000	0.948544  	50.000000	0.948198  	50.000000	0.948497  	50.000000	0.947342  	50.000000	0.00064032	
55.000000	0.882314  	55.000000	0.878755  	55.000000	0.878104  	55.000000	0.877514  	55.000000	0.878076  	55.000000	0.878168  	55.000000	0.000586918	
60.000000	0.822932  	60.000000	0.82025   	60.000000	0.818756  	60.000000	0.817981  	60.000000	0.818732  	60.000000	0.819708  	60.000000	0.000542033	
65.000000	0.772183  	65.000000	0.770131  	65.000000	0.767987  	65.000000	0.767125  	65.000000	0.768016  	65.000000	0.769627  	65.000000	0.000503755	
70.000000	0.728279  	70.000000	0.726696  	70.000000	0.724182  	70.000000	0.723159  	70.000000	0.724153  	70.000000	0.726225  	70.000000	0.000470711	
75.000000	0.6899    	75.000000	0.688679  	75.000000	0.685814  	75.000000	0.684757  	75.000000	0.68583   	75.000000	0.688237  	75.000000	0.000441883	
80.000000	0.656045  	80.000000	0.655115  	80.000000	0.652069  	80.000000	0.650917  	80.000000	0.652048  	80.000000	0.654698  	80.000000	0.000416504	
85.000000	0.625943  	85.000000	0.625257  	85.000000	0.62203   	85.000000	0.620863  	85.000000	0.622038  	85.000000	0.624864  	85.000000	0.000393983	
90.000000	0.598992  	90.000000	0.598519  	90.000000	0.59523   	90.000000	0.593989  	90.000000	0.595196  	90.000000	0.598145  	90.000000	0.000373858	
95.000000	0.574711  	95.000000	0.57443   	95.000000	0.571053  	95.000000	0.56981   	95.000000	0.571043  	95.000000	0.574074  	95.000000	0.00035576	
100.000000	0.552713  	100.000000	0.552611  	100.000000	0.549184  	100.000000	0.547938  	100.000000	0.549189  	100.000000	0.552272  	100.000000	0.000339396	
105.000000	0.532685  	105.000000	0.532754  	105.000000	0.529298  	105.000000	0.528056  	105.000000	0.529319  	105.000000	0.53243   	105.000000	0.000324524	
110.000000	0.514367  	110.000000	0.514603  	110.000000	0.511188  	110.000000	0.509901  	110.000000	0.511175  	110.000000	0.514292  	110.000000	0.000310946	
115.000000	0.497545  	115.000000	0.497945  	115.000000	0.494559  	115.000000	0.493256  	115.000000	0.494535  	115.000000	0.497647  	115.000000	0.000298499	
120.000000	0.482037  	120.000000	0.482602  	120.000000	0.479233  	120.000000	0.477941  	120.000000	0.479224  	120.000000	0.482315  	120.000000	0.000287046	
125.000000	0.467693  	125.000000	0.468423  	125.000000	0.46509   	125.000000	0.4638    	125.000000	0.465084  	125.000000	0.468147  	125.000000	0.000276471	
130.000000	0.454383  	130.000000	0.45528   	130.000000	0.451989  	130.000000	0.450704  	130.000000	0.451988  	130.000000	0.455013  	130.000000	0.000266674	
135.000000	0.441996  	135.000000	0.443061  	135.000000	0.43982   	135.000000	0.438539  	135.000000	0.439822  	135.000000	0.442804  	135.000000	0.000257573	
140.000000	0.430437  	140.000000	0.431673  	140.000000	0.428487  	140.000000	0.42721   	140.000000	0.428491  	140.000000	0.431424  	140.000000	0.000249095	
145.000000	0.419624  	145.000000	0.421033  	145.000000	0.417905  	145.000000	0.416634  	145.000000	0.417911  	145.000000	0.420791  	145.000000	0.000241177	
150.000000	0.409485  	150.000000	0.411068  	150.000000	0.408004  	150.000000	0.406738  	150.000000	0.408011  	150.000000	0.410835  	150.000000	0.000233765	
155.000000	0.0988218 	155.000000	0.401718  	155.000000	0.398718  	155.000000	0.397457  	155.000000	0.398726  	155.000000	0.401491  	155.000000	0.000226811	
160.000000	0.0967299 	160.000000	0.392925  	160.000000	0.389993  	160.000000	0.388737  	160.000000	0.390001  	160.000000	0.392705  	160.000000	0.000220274	
165.000000	0.094758  	165.000000	0.384642  	165.000000	0.381779  	165.000000	0.380528  	165.000000	0.381787  	165.000000	0.384428  	165.000000	0.000214117	
170.000000	0.0928959 	170.000000	0.376825  	170.000000	0.374033  	170.000000	0.372787  	170.000000	0.37404   	170.000000	0.376617  	170.000000	0.000208307	
175.000000	0.0911345 	175.000000	0.369436  	175.000000	0.366715  	175.000000	0.365474  	175.000000	0.366722  	175.000000	0.369233  	175.000000	0.000202815	
180.000000	0.0894659 	180.000000	0.362441  	180.000000	0.359792  	180.000000	0.358556  	180.000000	0.359798  	180.000000	0.362243  	180.000000	0.000197615	
185.000000	0.0878827 	185.000000	0.355809  	185.000000	0.353232  	185.000000	0.352     	185.000000	0.353237  	185.000000	0.355616  	185.000000	0.000192685	
190.000000	0.0863785 	190.000000	0.349512  	190.000000	0.347008  	190.000000	0.345781  	190.000000	0.347012  	190.000000	0.349324  	190.000000	0.000188004	
195.000000	0.0849474 	195.000000	0.343526  	195.000000	0.341094  	195.000000	0.339872  	195.000000	0.341097  	195.000000	0.343342  	195.000000	0.000183553	
200.000000	0.0835842 	200.000000	0.337828  	200.000000	0.335468  	200.000000	0.334251  	200.000000	0.33547   	200.000000	0.337648  	200.000000	0.000179316	
210.000000	0.0810429 	210.000000	0.327217  	210.000000	0.325001  	210.000000	0.323793  	210.000000	0.325001  	210.000000	0.327045  	210.000000	0.000171422	
220.000000	0.0787212 	220.000000	0.317538  	220.000000	0.315465  	220.000000	0.314266  	220.000000	0.315462  	220.000000	0.317374  	220.000000	0.000164217	
230.000000	0.0765916 	230.000000	0.308675  	230.000000	0.306742  	230.000000	0.305552  	230.000000	0.306737  	230.000000	0.308517  	230.000000	0.000157613	
240.000000	0.0746312 	240.000000	0.300528  	240.000000	0.298732  	240.000000	0.297551  	240.000000	0.298725  	240.000000	0.300377  	240.000000	0.000151538	
250.000000	0.0728203 	250.000000	0.293015  	250.000000	0.291359  	250.000000	0.290182  	250.000000	0.291345  	250.000000	0.292869  	250.000000	0.00014593	
260.000000	0.0711425 	260.000000	0.286066  	260.000000	0.284529  	260.000000	0.283372  	260.000000	0.284525  	260.000000	0.285925  	260.000000	0.000140735	
270.000000	0.0695835 	270.000000	0.279619  	270.000000	0.278192  	270.000000	0.277062  	270.000000	0.278206  	270.000000	0.279483  	270.000000	0.000135911	
280.000000	0.0681311 	280.000000	0.273622  	280.000000	0.272325  	280.000000	0.2712    	280.000000	0.272333  	280.000000	0.273491  	280.000000	0.000131417	
290.000000	0.0667748 	290.000000	0.268032  	290.000000	0.26686   	290.000000	0.26574   	290.000000	0.266865  	290.000000	0.267905  	290.000000	0.000127222	
300.000000	0.0655053 	300.000000	0.262808  	300.000000	0.261756  	300.000000	0.260644  	300.000000	0.261759  	300.000000	0.262684  	300.000000	0.000123294	
310.000000	0.0643147 	310.000000	0.257916  	310.000000	0.256983  	310.000000	0.255876  	310.000000	0.256983  	310.000000	0.257796  	310.000000	0.000119611	
320.000000	0.0631957 	320.000000	0.253326  	320.000000	0.252509  	320.000000	0.251408  	320.000000	0.252506  	320.000000	0.25321   	320.000000	0.000116148	
330.000000	0.0621422 	330.000000	0.249012  	330.000000	0.248307  	330.000000	0.247211  	330.000000	0.248302  	330.000000	0.248899  	330.000000	0.000112887	
