 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> September 04, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Hydrogen (gas).txt

 Ion = Carbon [6] , Mass = 16 amu

 Target Density =  3.0840E-05 g/cm3 = 1.8424E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.779E-03  1.156E-02  104.32 um    14.10 um    12.03 um  
   1.10 keV   1.866E-03  1.171E-02  111.47 um    14.90 um    12.79 um  
   1.20 keV   1.949E-03  1.183E-02  118.52 um    15.67 um    13.52 um  
   1.30 keV   2.029E-03  1.193E-02  125.47 um    16.42 um    14.24 um  
   1.40 keV   2.105E-03  1.202E-02  132.33 um    17.16 um    14.95 um  
   1.50 keV   2.179E-03  1.209E-02  139.13 um    17.88 um    15.64 um  
   1.60 keV   2.250E-03  1.215E-02  145.86 um    18.59 um    16.32 um  
   1.70 keV   2.320E-03  1.220E-02  152.54 um    19.29 um    16.99 um  
   1.80 keV   2.387E-03  1.224E-02  159.17 um    19.97 um    17.66 um  
   2.00 keV   2.516E-03  1.231E-02  172.30 um    21.35 um    18.96 um  
   2.25 keV   2.669E-03  1.235E-02  188.51 um    23.04 um    20.55 um  
   2.50 keV   2.813E-03  1.237E-02  204.54 um    24.68 um    22.10 um  
   2.75 keV   2.950E-03  1.236E-02  220.43 um    26.27 um    23.61 um  
   3.00 keV   3.082E-03  1.234E-02  236.21 um    27.83 um    25.11 um  
   3.25 keV   3.207E-03  1.231E-02  251.89 um    29.35 um    26.57 um  
   3.50 keV   3.328E-03  1.226E-02  267.49 um    30.85 um    28.02 um  
   3.75 keV   3.445E-03  1.221E-02  283.04 um    32.32 um    29.44 um  
