 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> January 30, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\HinH_better.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.3084E-05 g/cm3 = 1.9765E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.504E-01  1.692E-01  339.10 um    78.32 um    70.68 um  
   1.10 keV   7.871E-01  1.600E-01  368.73 um    82.14 um    75.31 um  
   1.20 keV   8.221E-01  1.519E-01  397.68 um    85.65 um    79.67 um  
   1.30 keV   8.556E-01  1.447E-01  425.99 um    88.90 um    83.80 um  
   1.40 keV   8.879E-01  1.383E-01  453.69 um    91.90 um    87.72 um  
   1.50 keV   9.191E-01  1.325E-01  480.81 um    94.70 um    91.44 um  
   1.60 keV   9.492E-01  1.272E-01  507.38 um    97.32 um    94.98 um  
   1.70 keV   9.785E-01  1.224E-01  533.44 um    99.76 um    98.36 um  
   1.80 keV   1.007E+00  1.180E-01  559.00 um   102.06 um   101.58 um  
   2.00 keV   1.061E+00  1.101E-01  608.76 um   106.36 um   107.62 um  
   2.25 keV   1.124E+00  1.019E-01  668.63 um   111.15 um   114.51 um  
   2.50 keV   1.183E+00  9.491E-02  726.22 um   115.38 um   120.77 um  
   2.75 keV   1.239E+00  8.894E-02  781.77 um   119.14 um   126.49 um  
   3.00 keV   1.293E+00  8.377E-02  835.48 um   122.51 um   131.77 um  
   3.25 keV   1.344E+00  7.923E-02  887.52 um   125.56 um   136.64 um  
   3.50 keV   1.393E+00  7.521E-02  938.04 um   128.34 um   141.18 um  
   3.75 keV   1.440E+00  7.162E-02  987.16 um   130.88 um   145.41 um  
